7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recreation room (max),,,,,"2,583 SF",,,,The maximum amount of recreation room space that can be counted toward indoor amenity requirements (LAMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space (req),,,,,"2,583 SF",,,,The minimum outdoor amenity area that must be provided to meet project requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"5,166 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space,,,,,"1,706 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space,,,,,"4,391 SF",,>,"2,583 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"6,096 SF",,>,"5,166 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"6,096 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"6,400 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space,,,,,"12,496 SF",,>,"10,331 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity priority for resident cohort:,,,,,,2. Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space (req.),,,,,"2,583",,SF,,The minimum indoor amenity area required by zoning or municipal code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Indoor Amenities,,,,,568,,SF,,The portion of corridor area allocated or credited toward indoor amenity space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Art Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%
,Bar / Café Nook,,,,,,,,TRUE,415 SF,,,415 SF,,,415 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22%
,Business Center / Coworking,,,,,,,,TRUE,370 SF,,,370 SF,,,370 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Children’s Play Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commercial Kitchen,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Community / Multi-Purpose Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%
,Concierge Desk,,,,,,,,TRUE,105 SF,,,105 SF,,,105 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conference Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%
,Dining Room,,,,,,,,TRUE,415 SF,,,415 SF,,,415 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dog Washing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fitness Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Game Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Golf Simulator Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Library / Reading Lounge,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Massage / Treatment Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podcast Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recording Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sauna / Steam Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shower / Changing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spa / Wellness Center,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spin Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity Storage Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%
,Theater / Screening Room,,,,,,,,TRUE,401 SF,,,401 SF,,,401 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yoga / Pilates Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Restroom for Residents,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,706 SF",,,"1,706 SF",,,"1,706 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30%
,Outdoor Bar Area,,,,,,,,TRUE,188 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.80%
,BBQ Stations,,,,,,,,TRUE,564 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cabanas,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00%
,Fire Pit(s),,,,,,,,TRUE,836 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10%
,Gazebos,,,,,,,,TRUE,401 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movie Screening Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50%
,Outdoor Kitchen,,,,,,,,TRUE,594 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seating / Tables,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Courts - Sports,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Shower(s),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pets - Dog Run / Pet Park,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pets - Dog Washing Station,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planters - Community Garden,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Spa,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swimming Pool,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tot Lot / Children’s Play Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80%
,Planters - Landscaped Area,,,,,,,,TRUE,517 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.40%
,Outdoor Amenity Circulation,,,,,,,,TRUE,"1,291 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"4,391 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MPOE Room,,,,,,,,TRUE,100 SF,,,100 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDF Closets,,,,,,,,TRUE,192 SF,,,192 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAS (ERRCS) Room,,,,,,,,TRUE,111 SF,,,111 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,403 SF,,,403 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Utilty Infrastructure - Exterior,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Utility - Customer Station (indoor),,,,,,,,TRUE,927 SF,,,927 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Utility - Indoor Meter Room,,,,,,,,TRUE,"1,336 SF",,,"1,336 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"2,263 SF",,,"2,263 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential area - kVA,,,,,733,,kVA,,The estimated electrical demand load in kVA attributable to the residential portion of the building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-residential area - kVA,,,,,331,,kVA,,The estimated electrical demand load in kVA attributable to the non-residential portion of the building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demand electrical load,,,,,"1,064",,kVA,,"The combined total electrical demand load for both residential and non-residential areas, expressed in kVA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roof area,,,,,"18,714",,SF,,"The total gross roof surface of the building, measured in square feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Available roof sf (solar panel),,,,,"8,915",,SF,,"The portion of the roof area suitable for photovoltaic panels after excluding setbacks, mechanical equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main Electrical Room,,,,,,,,TRUE,320 SF,,,320 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Electrical Room(s),,,,,,,,TRUE,265 SF,,,265 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATS Room (Emergency equipment),,,,,,,,TRUE,171 SF,,,171 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generator Room,,,,,,,,TRUE,432 SF,,,432 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emergency Lighting Inverter Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solar Battery Room / UPS Room,,,,,,,,TRUE,439 SF,,,439 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,627 SF",,,"1,627 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fan Room / Air Handling Unit (AHU) Room,,,,,,,,TRUE,134 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mechanical Pad for HVAC Equipment (Outdoor),,,,,,,,TRUE,644 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mech. Shaft - Commercial Kitchen,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mech. Shaft - Ventilation & Ref. Lines,,,,,,,,TRUE,113 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,890 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Plumbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic peak flow - Q,,,,,329,,gpm,,The maximum instantaneous demand for domestic (potable) water supply in the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic Water Booster Pump Room,,,,,,,,TRUE,162 SF,,,162 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cistern Water Storage/Tank Room,,,,,,,,TRUE,"1,197 SF",,,"1,197 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Backflow Preventer Room/Alcove/Space,,,,,,,,TRUE,80 SF,,,80 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Meter Space/Alcove,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grease Interceptor Room,,,,,,,,TRUE,106 SF,,,106 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Water Heating Room (Indoor),,,,,,,,TRUE,85 SF,,,85 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Water Heating Pad (Outdoor),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graywater System Room,,,,,,,,TRUE,69 SF,,,69 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Plumbing Risers,,,,,,,,TRUE,64 SF,,,64 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water PRV Closet,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water Filtration/Conditioning Room,,,,,,,,TRUE,43 SF,,,43 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rain Water Harvesting Room,,,,,,,,TRUE,107 SF,,,107 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,914 SF",,,"1,914 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Fire Sprinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is Sprinklered?,,,,,,,,TRUE,Indicates whether the building is equipped with an automatic fire sprinkler system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Design Fire Flow,,,,,"1,000",,gpm,,"The required water supply rate for firefighting, expressed in gallons per minute (gpm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Pump Room,,,,,,,,TRUE,144 SF,,,144 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Control Room,,,,,,,,TRUE,200 SF,,,200 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sprinkler Riser Closets,,,,,,,,TRUE,20 SF,,,20 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,364 SF,,,364 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. 825-837 Hyperion Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposal property type,,,,,Apartment,,,,The proposal property type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building construction type,,,,,4.Type III/I,,,,"The building’s structural material and fire-resistance classification (e.g., Type V – wood, Type III – mixed, Type I – concrete/steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lot Size (GSF),,,,,"16,828",,SF,,Lot Size / Parcel Area / Plot Area : The total land parcel area for the existing office site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAR,,,,,4.5,,,,The ratio of Gross Floor Area (GFA) to Lot Size for the proposed apartment project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Floor Area (GFA),,,,,"62,332",,SF,,"The total usable floor area that counts toward zoning FAR, excluding shafts, mechanical/electrical rooms, & other exempt spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"76,122",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusion (CBC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories,,,,,7,,,,The number of floors in the existing office.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typical floor plate area (GSF),,,,,"10,875",,SF,,"The gross area of one standard floor in the proposed apartment, representing a typical level footprint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentable area,,,,,"52,681",,SF,,The portion of the proposed apartment building that can be leased or rented to tenants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"76,122",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net-to-Gross ratio,,,,,69.20%,,,,"The efficiency ratio of the proposed apartment, calculated as Rentable Area ÷ Gross Building Area (GBA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,,,,,,,,% GBA,,,Building Area,,,Floor Area,,,GSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling Units,,,,,,,,69.20%,,,"52,681 SF",,,"52,681 SF",,,"52,681 SF",,,,,,,,,,,,,,,69.20%,,,,,,,,,,,,,,,,,,,
,Retail,,,,,,,,0.00%,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,8.30%,,,"6,315 SF",,,"5,132 SF",,,"7,170 SF",,,,,,,,,,,,,,,8.30%,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,4.40%,,,"3,340 SF",,,"2,390 SF",,,"3,458 SF",,,,,,,,,,,,,,,4.40%,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,,0.70%,,,509 SF,,,449 SF,,,509 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,2.20%,,,"1,681 SF",,,"1,681 SF",,,"1,681 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,0.00%,,,-,,,-,,,"3,333 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking & Vehicle Access Areas,,,,,,,,10.00%,,,"7,600 SF",,,-,,,"10,189 SF",,,,,,,,,,,,,,,10.00%,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,0.40%,,,342 SF,,,-,,,342 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,1.90%,,,"1,409 SF",,,-,,,"1,409 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,0.60%,,,476 SF,,,-,,,476 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,0.00%,,,-,,,-,,,"1,750 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,1.90%,,,"1,414 SF",,,-,,,"1,414 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,0.50%,,,355 SF,,,-,,,355 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,100%,,,"76,122 SF",,,"62,332 SF",,,"84,767 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Height and Story Distribution Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height type,,,,,2. Mid-Rise,,,,"The building height type for the proposed apartment (e.g., Low-Rise, Mid-Rise, High-Rise).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Above grade height,,,,,,65,FT,,The building height of the proposed apartment from ground level to roof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height - Below grade,,,,,,10,FT,,The building height of the proposed apartment from the lowest occupied basement floor to the ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of building height,,,,,,75,FT,,The building height (above-grade and subterranean).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Above Grade),,,,,,6,,,The number of above-ground floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Below Grade),,,,,,1,,,The number of underground or basement floors for parking in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of stories,,,,,,7,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for dwelling units),,,,,,5.1,,,Floors used for residential dwelling units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for mix use),,,,,,0.9,,,Floors used for mixed-use spaces (support area + indoor amenities + management…),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
